"District
Rank",District,State
71,Mamit,Mizoram
72,Tirunelveli,Tamil Nadu
73,Papum Pare,Arunachal Pradesh
74,Tawang,Arunachal Pradesh
75,West Tripura,Tripura
76,NorthTripura,Tripura
77,Udupi,Karnataka
78,East Siang,Arunachal Pradesh
79,Doda,J&K
80,Thane,Maharashtra
81,Almora,Uttaranchal
82,Serchhip,Mizoram
83,NorthCachar Hills,Assam
84,LowerSubansiri,Arunachal Pradesh
85,The Nilgiris,Tamil Nadu
86,Pithoragarh,Uttaranchal
87,West Kameng,Arunachal Pradesh
88,Sirmaur,Himachal Pradesh
89,Phek,Nagaland
90,South Garo Hills,Meghalaya
91,Changlang,Arunachal Pradesh
92,Chikmagalur,Karnataka
93,Mon,Nagaland
94,Tuensang,Nagaland
95,Bongaigaon,Assam
96,LowerDibang Valley,Arunachal Pradesh
97,Senapati,Manipur
98,Srinagar,J&k
99,Morigaon,Assam
100,Tamenglong,Manipur
101,East Kameng,Arunachal Pradesh
102,Saiha,Mizoram
103,Shimoga,Karnataka
104,Upper Siang,Arunachal Pradesh
105,Mokokchung,Nagaland
106,Kohima,Nagaland
107,Pune,Maharashtra
108,West Siang,Arunachal Pradesh
109,Raygarh,Maharashtra
