"District
Rank",District,State
110,Dhalai,Tripura
111,NorthGoa,Goa
112,Ukhrul,Manipur
113,Kurung Kumey,Arunachal Pradesh
114,Sindhudurg,Maharashtra
115,Tirap,Arunachal Pradesh
116,Uttara Kannada,Karnatka
117,Nagaon,Assam
118,Champhai,Mizoram
119,Budgam,J&K
120,Upper Subansiri,Arunachal Pradesh
121,South Goa,Goa
122,Chandel,Manipur
123,Kargil,J&K
124,Haveri,Karnataka
125,Anjaw,Arunachal Pradesh
126,Lahul & Spiti,Himachal Pradesh
127,Dhubri,Assam
128,Nashik,Maharashtra
129,Ratnagiri,Maharashtra
130,South Tripura,Tripura
131,Ahmadnagar,Maharashtra
132,Kupwara,J&k
133,Kolhapur,Maharashtra
134,Satara,Maharashtra
135,Dibang Valley,Arunachal Pradesh
136,Leh-ladakh,J&K
137,Karimganj,Assam
138,Alappuzha,Kerala
139,Mumbai Suburban,Maharashtra
140,Mumbai,Maharashtra
141,Thoubal,Manipur
142,Imphal East,Manipur
143,Bishnupur,Manipur
144,Zunheboto,Nagaland
145,Wokha,Nagaland
146,Haridwar,Uttaranchal
147,Udham Singh Nagar,Uttaranchal
