"District
Rank",District,State
1,Rudraprayag,Uttaranchal
2,Tehri Garhwal,Uttaranchal
3,Thrissur,Kerala
4,Rajauri,J&K
5,Palakkad,Kerala
6,Poonch,J&K
7,Malappuram,Kerala
8,South District,Sikkim
9,East District,Sikkim
10,Kozhikode,Kerala
11,Imphal West,Manipur
12,Kodagu,Karnataka
13,Wayanad,Kerala
14,Jammu,J&K
15,Ernakulam,Kerala
16,Mandi,Himachal Pradesh
17,Udhampur,J&K
18,Idukki,Kerala
19,Chamoli,Uttaranchal
20,West District,Sikkim
21,Uttarkashi,Uttaranchal
22,Cachar,Assam
23,Garhwal,Uttaranchal
24,Kottayam,Kerala
25,Hamirpur,Himachal Pradesh
26,Kannur,Kerala
27,Pulwama,J&K
28,Thiruvananthapuram,Kerala
29,Dehra Dun,Uttaranchal
30,Bilaspur,Himachal Pradesh
31,West Garo Hills,Meghalaya
32,Chamba,Himachal Pradesh
33,Pathanamthitta,Kerala
34,East Khasi Hills,Meghalaya
35,Darjiling,West Bengal
